Species ,Pounds ,Value ,County 
"Squid, market ","3,060,889",1528421.00,Monterey County
"Salmon, Chinook ","183,599",1190155.00,Monterey County
"Anchovy, northern ","14,445,261",757758.00,Monterey County
Sablefish ,"260,563",672679.00,Monterey County
"Thornyhead, shortspine ","31,666",241850.00,Monterey County
Swordfish ,"64,311",190122.00,Monterey County
"Crab, Dungeness ","50,655",180431.00,Monterey County
"Rockfish, gopher ","13,900",110889.00,Monterey County
"Halibut, California ","20,219",108825.00,Monterey County
"Rockfish, black-and-yellow ","11,053",99277.00,Monterey County
"Hagfish, Pacific ","67,972",67011.00,Monterey County
Cabezon ,"6,435",45531.00,Monterey County
"Sardine, Pacific ","334,112",35160.00,Monterey County
"Rockfish, chilipepper ","23,318",34772.00,Monterey County
Lingcod ,"7,567",24107.00,Monterey County
"Rockfish, bocaccio ","17,298",21409.00,Monterey County
"Rockfish, blackgill ","10,024",17877.00,Monterey County
"Hagfish, unspecified ","17,946",17547.00,Monterey County
"Greenling, kelp ","2,178",16298.00,Monterey County
Salmon ,"1,779",14098.00,Monterey County
"Tuna, albacore ","7,944",12841.00,Monterey County
"Rockfish, blue ","3,166",6617.00,Monterey County
"Shark, shortfin mako ","7,059",6118.00,Monterey County
"Rockfish, grass ",565,5680.00,Monterey County
Grenadier ,"17,330",4789.00,Monterey County
"Prawn, spot ",244,4327.00,Monterey County
"Seabass, white ",560,4001.00,Monterey County
"Rockfish, kelp ",351,2937.00,Monterey County
"Rockfish, vermilion ","1,312",2792.00,Monterey County
"Shark, thresher ","2,949",2769.00,Monterey County
"Tuna, bigeye ",822,2686.00,Monterey County
"Rockfish, China ",269,2493.00,Monterey County
"Sole, petrale ",884,2180.00,Monterey County
"Rockfish, treefish ",237,2155.00,Monterey County
"Croaker, white ","21,351",2135.00,Monterey County
"Rockfish, copper ",415,1768.00,Monterey County
"Rockfish, widow ",841,1505.00,Monterey County
"Rockfish, canary ",703,1423.00,Monterey County
Opah ,983,1410.00,Monterey County
"Thornyhead, longspine ","1,551",1330.00,Monterey County
"Mackerel, Pacific ","2,811",1255.00,Monterey County
"Rockfish, starry ",394,969.00,Monterey County
"Tuna, bluefin ",159,795.00,Monterey County
"Shark, blue ",794,794.00,Monterey County
"Rockfish, olive ",330,748.00,Monterey County
"Rockfish, greenspotted ",427,686.00,Monterey County
"Rockfish, yellowtail ",569,684.00,Monterey County
"Skate, longnose ","3,332",344.00,Monterey County
"Rockfish, aurora ",178,232.00,Monterey County
"Rockfish, redbanded ",134,222.00,Monterey County
"Flounder, starry ",92,189.00,Monterey County
"Whitefish, ocean ",78,151.00,Monterey County
"Surfperch, barred ",30,90.00,Monterey County
"Rockfish, greenstriped ",61,87.00,Monterey County
"Crab, brown rock ",60,75.00,Monterey County
"Rockfish, brown ",43,67.00,Monterey County
"Bass, kelp ",7,60.00,Monterey County
"Sanddab, Pacific ",37,59.00,Monterey County
"Rockfish, greenblotched ",29,58.00,Monterey County
"Rockfish, bank ",31,48.00,Monterey County
"Kelp, giant ",6,44.00,Monterey County
"Flounder, unspecified ",30,42.00,Monterey County
"Rockfish, darkblotched ",27,42.00,Monterey County
"Sole, Dover ",923,38.00,Monterey County
"Rockfish, rosy ",24,36.00,Monterey County
"Prickleback, monkeyface (eel) ",13,36.00,Monterey County
"Crab, tanner ",367,28.00,Monterey County
"Lamprey, Pacific ",21,26.00,Monterey County
"Sole, sand ",11,25.00,Monterey County
"Whiting, Pacific ",274,23.00,Monterey County
"Rockfish, group rosefish ",13,20.00,Monterey County
"Mackerel, jack ",26,18.00,Monterey County
Kelpfishes ,2,17.00,Monterey County
"Sole, rock ",6,16.00,Monterey County
Sanddab ,6,15.00,Monterey County
"Mackerel, unspecified ",11,11.00,Monterey County
"Rockfish, splitnose ",14,10.00,Monterey County
"Octopus, unspecified ",13,10.00,Monterey County
"Saury, Pacific ",8,8.00,Monterey County
"Rockfish, calico ",3,5.00,Monterey County
"Barracuda, California ",5,5.00,Monterey County
"Rockfish, group shelf ",2,5.00,Monterey County
"Shark, spiny dogfish ",73,3.00,Monterey County
"Flounder, arrowtooth ",11,1.00,Monterey County
"Tuna, yellowfin ",1,1.00,Monterey County
"Skate, big ",82,0.00,Monterey County
"Fish, unspecified ","3,241",0.00,Monterey County
"Crab, red rock ",12,0.00,Monterey County
"Shark, gray smoothhound ",52,0.00,Monterey County
"Ratfish, spotted ",2,0.00,Monterey County
Jacksmelt ,"1,141",0.00,Monterey County
Jellyfish ,"61,969",0.00,Monterey County
"Squid, market ","2,006,294",988533.00,Monterey County
"Salmon, Chinook ","91,906",566312.00,Monterey County
"Prawn, spot ","19,492",318158.00,Monterey County
"Anchovy, northern ","5,823,653",291183.00,Monterey County
"Crab, Dungeness ","21,317",85691.00,Monterey County
"Seabass, white ","9,643",60655.00,Monterey County
Swordfish ,"18,178",54816.00,Monterey County
"Halibut, California ","9,224",49881.00,Monterey County
"Rockfish, gopher ","4,981",45497.00,Monterey County
"Rockfish, black-and-yellow ","2,548",25461.00,Monterey County
"Rockfish, blue ","4,334",16057.00,Monterey County
Lingcod ,"3,836",14044.00,Monterey County
"Shark, shortfin mako ","11,260",11260.00,Monterey County
Cabezon ,"1,067",8493.00,Monterey County
"Sardine, Pacific ","168,699",8435.00,Monterey County
"Rockfish, vermilion ","1,802",7485.00,Monterey County
"Hagfish, Pacific ","4,785",4785.00,Monterey County
"Crab, red rock ","1,676",3765.00,Monterey County
"Rockfish, canary ",582,1987.00,Monterey County
"Rockfish, yellowtail ",592,1754.00,Monterey County
"Greenling, kelp ",177,1495.00,Monterey County
"Whitefish, ocean ",543,1390.00,Monterey County
"Crab, yellow rock ",503,1356.00,Monterey County
"Rockfish, group bolina ",177,1300.00,Monterey County
Opah ,745,931.00,Monterey County
Sanddab ,366,898.00,Monterey County
"Mackerel, Pacific ","5,715",849.00,Monterey County
"Rockfish, grass ",80,808.00,Monterey County
"Rockfish, starry ",195,664.00,Monterey County
Jacksmelt ,"9,039",660.00,Monterey County
Sablefish ,197,477.00,Monterey County
"Rockfish, bocaccio ",533,474.00,Monterey County
"Sierra, Pacific ",114,456.00,Monterey County
"Mackerel, jack ",645,388.00,Monterey County
