Species ,Pounds ,Value ,County
"Lobster, California spiny ","274,696","$3,847,676 ",Santa Barbara County
"Sea urchin, red ","522,884","$1,262,798 ",Santa Barbara County
Sablefish ,"436,327","$1,240,824 ",Santa Barbara County
"Thornyhead, shortspine ","103,073","$890,240 ",Santa Barbara County
"Crab, yellow rock ","442,361","$778,989 ",Santa Barbara County
"Crab, red rock ","319,263","$582,182 ",Santa Barbara County
"Prawn, spot ","26,856","$413,585 ",Santa Barbara County
"Halibut, California ","59,426","$327,030 ",Santa Barbara County
"Crab, box ","49,385","$185,557 ",Santa Barbara County
"Rockfish, vermilion ","52,945","$172,991 ",Santa Barbara County
"Sea cucumber, giant red ","28,035","$136,899 ",Santa Barbara County
"Sea cucumber, warty ","24,247","$100,066 ",Santa Barbara County
"Prawn, ridgeback ","27,090","$78,692 ",Santa Barbara County
"Seabass, white ","16,562","$77,149 ",Santa Barbara County
"Salmon, Chinook ","9,930","$74,953 ",Santa Barbara County
"Rockfish, grass ","6,200","$73,872 ",Santa Barbara County
"Crab, rock unspecified ","33,814","$67,602 ",Santa Barbara County
"Crab, brown rock ","28,124","$59,184 ",Santa Barbara County
"Rockfish, copper ","9,705","$59,012 ",Santa Barbara County
Thornyheads ,"6,379","$53,367 ",Santa Barbara County
"Crab, spider ","21,533","$32,164 ",Santa Barbara County
"Thornyhead, longspine ","12,731","$31,475 ",Santa Barbara County
Cabezon ,"2,742","$21,193 ",Santa Barbara County
"Sheephead, California ","5,038","$18,491 ",Santa Barbara County
"Whitefish, ocean ","6,302","$17,284 ",Santa Barbara County
Lingcod ,"4,043","$15,054 ",Santa Barbara County
"Rockfish, bocaccio ","4,826","$15,010 ",Santa Barbara County
"Whelk, Kellet's ","15,475","$13,747 ",Santa Barbara County
"Sea urchin, purple ","5,487","$11,434 ",Santa Barbara County
"Shark, thresher ","6,870","$10,515 ",Santa Barbara County
"Rockfish, yellowtail ","2,410","$8,386 ",Santa Barbara County
"Shark, Pacific angel ","6,222","$8,296 ",Santa Barbara County
"Rockfish, greenspotted ","2,890","$7,455 ",Santa Barbara County
"Rockfish, blue ","1,654","$6,929 ",Santa Barbara County
"Crab, king ","1,058","$4,924 ",Santa Barbara County
"Rockfish, gopher ",587,"$4,921 ",Santa Barbara County
"Shark, soupfin ","4,658","$3,859 ",Santa Barbara County
"Shark, shortfin mako ","2,411","$3,476 ",Santa Barbara County
Grenadier ,"3,635","$3,407 ",Santa Barbara County
Yellowtail ,"1,088","$3,396 ",Santa Barbara County
"Rockfish, black-and-yellow ",403,"$3,331 ",Santa Barbara County
"Crab, Dungeness ",687,"$3,265 ",Santa Barbara County
"Sole, fantail ","1,240","$3,071 ",Santa Barbara County
Mussel ,"2,539","$2,523 ",Santa Barbara County
Salmon ,287,"$2,298 ",Santa Barbara County
"Snail, top ","1,878","$1,878 ",Santa Barbara County
"Rockfish, starry ",584,"$1,876 ",Santa Barbara County
"Rockfish, kelp ",264,"$1,848 ",Santa Barbara County
"Bonito, Pacific ","1,897","$1,715 ",Santa Barbara County
"Limpet, keyhole ","1,691","$1,691 ",Santa Barbara County
Swordfish ,522,"$1,684 ",Santa Barbara County
"Bass, giant sea ",368,"$1,593 ",Santa Barbara County
"Rockfish, canary ",642,"$1,552 ",Santa Barbara County
"Rockfish, speckled ",527,"$1,483 ",Santa Barbara County
"Rockfish, widow ",294,"$1,288 ",Santa Barbara County
"Shark, leopard ","1,398","$1,261 ",Santa Barbara County
"Mackerel, Pacific ",508,"$1,192 ",Santa Barbara County
"Rockfish, treefish ",107,$894 ,Santa Barbara County
"Shark, white ",567,$670 ,Santa Barbara County
"Eel, California moray ",101,$667 ,Santa Barbara County
"Ray, bat ","3,747",$661 ,Santa Barbara County
"Rockfish, blackgill ",275,$641 ,Santa Barbara County
"Rockfish, brown ",197,$597 ,Santa Barbara County
"Rockfish, bank ",163,$567 ,Santa Barbara County
"Rockfish, chilipepper ",157,$560 ,Santa Barbara County
Sanddab ,286,$558 ,Santa Barbara County
"Crab, spider/sheep claws ",275,$487 ,Santa Barbara County
"Sole, Dover ",137,$446 ,Santa Barbara County
"Sole, unspecified ",174,$367 ,Santa Barbara County
"Tuna, bluefin ",76,$342 ,Santa Barbara County
"Crab, hermit ",114,$342 ,Santa Barbara County
"Sole, petrale ",132,$248 ,Santa Barbara County
"Mackerel, unspecified ",272,$237 ,Santa Barbara County
"Rockfish, group red ",74,$223 ,Santa Barbara County
"Rockfish, olive ",87,$205 ,Santa Barbara County
"Squid, market ",103,$204 ,Santa Barbara County
Kelpfishes ,25,$170 ,Santa Barbara County
"Sole, rock ",37,$144 ,Santa Barbara County
"Sole, English ",301,$115 ,Santa Barbara County
"Halibut, unspecified ",30,$115 ,Santa Barbara County
"Rockfish, greenstriped ",24,$94 ,Santa Barbara County
"Barracuda, California ",118,$88 ,Santa Barbara County
"Crab, claws ",55,$87 ,Santa Barbara County
"Skate, longnose ","1,134",$83 ,Santa Barbara County
"Shark, pelagic thresher ",52,$78 ,Santa Barbara County
"Rockfish, splitnose ",35,$70 ,Santa Barbara County
"Rockfish, flag ",26,$62 ,Santa Barbara County
"Crab, southern kelp ",21,$41 ,Santa Barbara County
"Rockfish, unspecified ",25,$38 ,Santa Barbara County
"Scorpionfish, California ",7,$33 ,Santa Barbara County
"Whiting, Pacific ",30,$16 ,Santa Barbara County
"Shark, sevengill ",121,$12 ,Santa Barbara County
"Sculpin, yellowchin ",2,$10 ,Santa Barbara County
"Rockfish, greenblotched ",3,$9 ,Santa Barbara County
"Rockfish, black ",6,$9 ,Santa Barbara County
"Surfperch, rainbow ",1,$7 ,Santa Barbara County
"Sculpin, staghorn ",1,$5 ,Santa Barbara County
"Octopus, unspecified ",6,$2 ,Santa Barbara County
"Rockfish, redbanded ",50,$0 ,Santa Barbara County
"Shark, unspecified ","4,961",$0 ,Santa Barbara County
"Sardine, Pacific ","5,530",$0 ,Santa Barbara County
