Species Pounds Value,Pounds,Value,County
"Crab, Dungeness","897,908",3028379.00,Mendocino
Sablefish ,"784,510",1170258.00,Mendocino
"Salmon, Chinook","84,426",474313.00,Mendocino
"Rockfish, chilipepper","614,422",270271.00,Mendocino
"Sole, petrale","186,716",238485.00,Mendocino
"Rockfish, bocaccio","413,716",205562.00,Mendocino
Lingcod,"168,422",176718.00,Mendocino
"Sole, Dover","381,236",170825.00,Mendocino
"Thornyhead, shortspine","69,027",120107.00,Mendocino
"Sea urchin, red","49,164",80043.00,Mendocino
"Tuna, albacore","26,266",59493.00,Mendocino
Salmon,"7,411",45280.00,Mendocino
"Rockfish, copper","8,443",37041.00,Mendocino
"Thornyhead, longspine","107,038",35832.00,Mendocino
"Rockfish, canary","47,638",31068.00,Mendocino
"Hagfish, unspecified ","23,659",23504.00,Mendocino
"Rockfish, group slope","39,430",21293.00,Mendocino
"Rockfish, blackgill","35,065",20849.00,Mendocino
"Rockfish, quillback","2,959",17460.00,Mendocino
Cabezon,"2,776",12414.00,Mendocino
"Rockfish, vermilion ","4,686",11196.00,Mendocino
"Sole, rex ","27,866",10819.00,Mendocino
"Rockfish, yellowtail ","4,782",10251.00,Mendocino
"Rockfish, bank","20,042",10000.00,Mendocino
"Surfperch, calico","1,441",4945.00,Mendocino
"Rockfish, darkblotched ","9,424",4893.00,Mendocino
"Rockfish, China",630,4606.00,Mendocino
"Rockfish, blue","2,153",4049.00,Mendocino
"Surfperch, redtail","1,183",4010.00,Mendocino
"Rockfish, widow","7,788",3738.00,Mendocino
"Rockfish, black-and-yellow",376,2850.00,Mendocino
"Sea cucumber, giant red","2,649",2649.00,Mendocino
"Sea urchin, purple","1,422",2582.00,Mendocino
"Skate, longnose","13,988",2536.00,Mendocino
"Sole, English","8,161",1933.00,Mendocino
"Halibut, California",270,1725.00,Mendocino
"Rockfish, gopher",233,1693.00,Mendocino
"Rockfish, grass",175,1430.00,Mendocino
"Halibut, Pacific",269,1345.00,Mendocino
"Rockfish, redbanded","1,664",1324.00,Mendocino
"Greenling, kelp",222,1280.00,Mendocino
"Rockfish, starry",251,1261.00,Mendocino
"Rockfish, rosy",389,1258.00,Mendocino
"Seaperch, striped",293,1026.00,Mendocino
"Rockfish, rougheye","1,349",1004.00,Mendocino
"Rockfish, olive",303,697.00,Mendocino
"Sanddab, Pacific","1,124",634.00,Mendocino
"Rockfish, black",278,572.00,Mendocino
"Sole, rock",166,368.00,Mendocino
"Surfperch, rainbow",166,365.00,Mendocino
"Crab, rock unspecified",159,357.00,Mendocino
"Rockfish, group shelf",194,192.00,Mendocino
"Flounder, arrowtooth",162,127.00,Mendocino
"Salmon, Roe (Chinook, Coho)",15,120.00,Mendocino
"Octopus, unspecified",474,118.00,Mendocino
Dolphin (fish),16,111.00,Mendocino
"Tuna, bluefin",13,103.00,Mendocino
"Rockfish, rosethorn",31,103.00,Mendocino
"Rockfish, unspecified",50,96.00,Mendocino
"Surfperch, walleye",25,84.00,Mendocino
"Shark, soupfin",105,83.00,Mendocino
"Rockfish, cowcod",143,72.00,Mendocino
"Rockfish, splitnose",845,64.00,Mendocino
"Shark, shortfin mako",24,48.00,Mendocino
"Rockfish, greenspotted",79,33.00,Mendocino
"Rockfish, aurora","1,731",33.00,Mendocino
"Rockfish, group bolina",4,27.00,Mendocino
"Rockfish, speckled",10,20.00,Mendocino
"Skate, big",126,19.00,Mendocino
"Rockfish, group canary/vermili",9,19.00,Mendocino
"Rockfish, greenblotched",9,17.00,Mendocino
"Flounder, starry",7,17.00,Mendocino
"Rockfish, yelloweye",32,16.00,Mendocino
Triggerfish,2,16.00,Mendocino
"Rockfish, group gopher",2,11.00,Mendocino
