Species ,Pounds ,Value ,County
"Salmon, Chinook ","212,449",1521064.00,San Luis Obispo
Sablefish ,"317,465",666775.00,San Luis Obispo
"Crab, Dungeness ","87,852",411309.00,San Luis Obispo
"Rockfish, gopher ","22,633",160405.00,San Luis Obispo
"Thornyhead, shortspine ","19,025",150361.00,San Luis Obispo
"Hagfish, Pacific ","109,975",119186.00,San Luis Obispo
Cabezon ,"16,681",113321.00,San Luis Obispo
"Prawn, spot ","6,851",108505.00,San Luis Obispo
"Rockfish, black-and-yellow ","12,628",91171.00,San Luis Obispo
"Shrimp, ocean (pink) ","71,572",78729.00,San Luis Obispo
"Rockfish, grass ","8,133",78051.00,San Luis Obispo
"Halibut, California ","9,728",54518.00,San Luis Obispo
"Squid, market ","79,017",39503.00,San Luis Obispo
"Tuna, albacore ","18,576",38105.00,San Luis Obispo
Salmon ,"4,462",35688.00,San Luis Obispo
Lingcod ,"12,457",34895.00,San Luis Obispo
"Rockfish, vermilion ","13,186",28058.00,San Luis Obispo
"Crab, red rock ","12,474",20654.00,San Luis Obispo
"Rockfish, blackgill ","11,236",19085.00,San Luis Obispo
"Rockfish, brown ","2,657",16828.00,San Luis Obispo
"Lobster, California spiny ","2,694",16152.00,San Luis Obispo
Swordfish ,"3,833",13979.00,San Luis Obispo
"Rockfish, treefish ","1,457",11501.00,San Luis Obispo
"Greenling, kelp ","1,311",9832.00,San Luis Obispo
"Crab, yellow rock ","4,895",8422.00,San Luis Obispo
"Seabass, white ","1,443",7846.00,San Luis Obispo
"Rockfish, blue ","2,988",6564.00,San Luis Obispo
"Rockfish, copper ","1,102",6071.00,San Luis Obispo
"Rockfish, bocaccio ","1,929",4030.00,San Luis Obispo
Opah ,"2,872",3690.00,San Luis Obispo
"Shark, thresher ","2,490",3307.00,San Luis Obispo
"Rockfish, kelp ",987,2886.00,San Luis Obispo
"Shark, shortfin mako ","1,993",2464.00,San Luis Obispo
"Rockfish, canary ",961,2126.00,San Luis Obispo
"Tuna, bluefin ",901,2119.00,San Luis Obispo
Grenadier ,"3,045",1721.00,San Luis Obispo
"Thornyhead, longspine ","2,281",1417.00,San Luis Obispo
"Rockfish, yellowtail ",599,1245.00,San Luis Obispo
"Surfperch, barred ",399,1073.00,San Luis Obispo
"Shark, soupfin ",542,806.00,San Luis Obispo
"Stickleback, threespine ",304,532.00,San Luis Obispo
"Whitefish, ocean ",232,488.00,San Luis Obispo
"Rockfish, starry ",225,470.00,San Luis Obispo
"Rockfish, olive ",189,380.00,San Luis Obispo
"Sheephead, California ",108,291.00,San Luis Obispo
"Rockfish, China ",43,242.00,San Luis Obispo
"Mackerel, jack ",80,234.00,San Luis Obispo
"Mackerel, Pacific ",45,164.00,San Luis Obispo
"Crab, rock unspecified ",79,121.00,San Luis Obispo
"Crab, spider ",87,83.00,San Luis Obispo
"Bonito, Pacific ",172,72.00,San Luis Obispo
"Flounder, starry ",21,66.00,San Luis Obispo
"Tuna, skipjack ",122,52.00,San Luis Obispo
"Sole, petrale ",25,45.00,San Luis Obispo
"Rockfish, aurora ",75,45.00,San Luis Obispo
"Rockfish, widow ",16,43.00,San Luis Obispo
"Salmon, Roe (Chinook, Coho) ",4,39.00,San Luis Obispo
"Rockfish, greenspotted ",17,35.00,San Luis Obispo
"Prickleback, monkeyface (eel) ",10,31.00,San Luis Obispo
"Rockfish, group bolina ",10,25.00,San Luis Obispo
"Mackerel, unspecified ",12,20.00,San Luis Obispo
"Sole, rock ",8,18.00,San Luis Obispo
"Greenling, rock ",8,17.00,San Luis Obispo
"Rockfish, black ",5,15.00,San Luis Obispo
"Rockfish, chilipepper ",3,8.00,San Luis Obispo
"Rockfish, speckled ",3,7.00,San Luis Obispo
"Rockfish, rosy ",3,5.00,San Luis Obispo
"Rockfish, quillback ",2,3.00,San Luis Obispo
"Sole, rex ",3,2.00,San Luis Obispo
"Skate, longnose ",27,0.00,San Luis Obispo
"Sardine, Pacific ",405,0.00,San Luis Obispo
"Crab, tanner ",56,0.00,San Luis Obispo
"Sole, Dover ",17,0.00,San Luis Obispo
"Shark, unspecified ",104,0.00,San Luis Obispo
"Shark, leopard ",7,0.00,San Luis Obispo
"Shark, spiny dogfish ",89,0.00,San Luis Obispo
"Anchovy, northern ",95,0.00,San Luis Obispo
"Crab, spider/sheep claws ",30,0.00,San Luis Obispo
"Ray, bat ",20,0.00,San Luis Obispo
"Skate, unspecified ",65,0.00,San Luis Obispo
"Fish, unspecified ",3,0.00,San Luis Obispo
"Octopus, unspecified ",77,0.00,San Luis Obispo
Morro Bay Port Totals: ,"1,090,682",3897010.00,San Luis Obispo
"Salmon, Chinook ","126,738",906158.00,San Luis Obispo
"Hagfish, Pacific ","280,529",310298.00,San Luis Obispo
"Crab, Dungeness ","35,026",160762.00,San Luis Obispo
"Rockfish, brown ","21,857",149794.00,San Luis Obispo
"Rockfish, gopher ","17,740",131738.00,San Luis Obispo
"Halibut, California ","16,592",95416.00,San Luis Obispo
"Rockfish, black-and-yellow ","7,759",61299.00,San Luis Obispo
"Prawn, spot ","3,044",48589.00,San Luis Obispo
Cabezon ,"9,567",48234.00,San Luis Obispo
"Rockfish, grass ","4,197",41388.00,San Luis Obispo
"Rockfish, vermilion ","11,549",33659.00,San Luis Obispo
"Rockfish, treefish ","3,194",31610.00,San Luis Obispo
"Crab, brown rock ","14,496",29567.00,San Luis Obispo
"Crab, red rock ","13,285",27711.00,San Luis Obispo
Lingcod ,"8,999",21912.00,San Luis Obispo
"Prawn, ridgeback ","4,460",13380.00,San Luis Obispo
"Surfperch, barred ","3,934",12629.00,San Luis Obispo
Salmon ,"1,183",11213.00,San Luis Obispo
"Rockfish, copper ","1,878",10891.00,San Luis Obispo
"Crab, spider ","2,986",6738.00,San Luis Obispo
"Seabass, white ",696,4549.00,San Luis Obispo
"Sheephead, California ",637,3729.00,San Luis Obispo
"Rockfish, canary ","1,228",3618.00,San Luis Obispo
"Greenling, kelp ",597,3456.00,San Luis Obispo
"Crab, rock unspecified ","1,375",3094.00,San Luis Obispo
"Whelk, Kellet's ","1,674",2511.00,San Luis Obispo
"Tuna, albacore ","1,202",2404.00,San Luis Obispo
"Salmon, Roe (Chinook, Coho) ",312,1714.00,San Luis Obispo
