Species ,Pounds ,Value ,County
"Tuna, bigeye ","789,155","$2,973,742 ",San Diego
"Lobster, California spiny ","51,688",684433.00,San Diego
Swordfish ,"115,341",524139.00,San Diego
Opah ,"433,098",488938.00,San Diego
"Tuna, yellowfin ","133,219",458091.00,San Diego
"Prawn, spot ","32,680",452900.00,San Diego
"Tuna, bluefin ","43,853",180513.00,San Diego
Wahoo ,"67,502",179715.00,San Diego
"Crab, yellow rock ","90,576",170639.00,San Diego
"Halibut, California ","18,018",104879.00,San Diego
"Sea urchin, red ","29,550",83625.00,San Diego
"Seabass, white ","15,751",74134.00,San Diego
Dolphin (fish) ,"32,700",69024.00,San Diego
Pomfret ,"29,224",68760.00,San Diego
Sablefish ,"5,470",47130.00,San Diego
"Sheephead, California ","6,960",36285.00,San Diego
"Tuna, albacore ","15,682",28659.00,San Diego
"Whelk, Kellet's ","30,949",27962.00,San Diego
"Rockfish, group shelf ","5,691",24827.00,San Diego
"Sea cucumber, warty ","3,677",21697.00,San Diego
Yellowtail ,"6,717",20724.00,San Diego
Escolar ,"21,452",19700.00,San Diego
"Crab, spider ","16,089",18405.00,San Diego
"Crab, rock unspecified ","7,403",14414.00,San Diego
"Shark, thresher ","8,004",13838.00,San Diego
"Mackerel, Pacific ","3,787",12504.00,San Diego
"Sea urchin, purple ",803,11975.00,San Diego
Sanddab ,"1,676",11318.00,San Diego
"Shark, pelagic thresher ","6,563",9552.00,San Diego
"Shark, shortfin mako ","6,689",9430.00,San Diego
"Tuna, skipjack ","9,186",8618.00,San Diego
"Crab, red rock ","3,761",7170.00,San Diego
"Crab, brown rock ","3,133",5697.00,San Diego
"Crab, box ","4,173",5089.00,San Diego
"Sanddab, Pacific ",639,4429.00,San Diego
"Rockfish, vermilion ",654,2770.00,San Diego
"Bonito, Pacific ","1,272",2669.00,San Diego
"Bass, giant sea ",456,2046.00,San Diego
"Shark, soupfin ","1,025",1906.00,San Diego
Flyingfish ,112,1677.00,San Diego
"Crab, king ",664,1585.00,San Diego
"Mackerel, unspecified ","1,551",1436.00,San Diego
"Rockfish, group slope ",345,1298.00,San Diego
"Rockfish, pink ",314,1254.00,San Diego
"Shark, leopard ",739,1006.00,San Diego
"Rockfish, blackgill ",478,982.00,San Diego
"Whitefish, ocean ",300,974.00,San Diego
"Rockfish, group deep nearshore ",118,633.00,San Diego
Louvar ,59,531.00,San Diego
"Rockfish, Mexican ",129,516.00,San Diego
"Shark, bigeye thresher ",490,493.00,San Diego
"Rockfish, chilipepper ",86,484.00,San Diego
"Shark, Pacific angel ",470,462.00,San Diego
"Squid, market ",561,420.00,San Diego
Lingcod ,80,393.00,San Diego
"Mackerel, jack ",114,381.00,San Diego
"Shark, blue ",442,379.00,San Diego
"Snail, sea ",321,321.00,San Diego
"Shark, spiny dogfish ",118,235.00,San Diego
"Surfperch, black ",80,212.00,San Diego
"Rockfish, rosy ",62,186.00,San Diego
"Octopus, unspecified ",42,143.00,San Diego
"Rockfish, speckled ",33,132.00,San Diego
"Crab, pelagic red ",135,120.00,San Diego
"Rockfish, bocaccio ",40,111.00,San Diego
"Scorpionfish, California ",43,110.00,San Diego
"Guitarfish, shovelnose ",85,110.00,San Diego
"Rockfish, gopher ",23,97.00,San Diego
"Skate, California ",187,93.00,San Diego
"Barracuda, California ",83,88.00,San Diego
"Crab, armed box ",22,88.00,San Diego
"Rockfish, bank ",21,84.00,San Diego
"Rockfish, group red ",15,75.00,San Diego
"Rockfish, rosethorn ",17,66.00,San Diego
"Spiders, sea ",61,61.00,San Diego
"Rockfish, flag ",12,48.00,San Diego
"Sculpin, staghorn ",10,40.00,San Diego
Cabezon ,7,39.00,San Diego
"Sole, fantail ",101,34.00,San Diego
"Crab, spider/sheep claws ",136,30.00,San Diego
"Snail, top ",27,27.00,San Diego
"Rockfish, greenstriped ",7,26.00,San Diego
Thornyheads ,32,25.00,San Diego
"Sole, petrale ",6,22.00,San Diego
"Fish, unspecified ",41,21.00,San Diego
"Rockfish, squarespot ",5,18.00,San Diego
Bat star ,16,16.00,San Diego
"Eel, California moray ",7,14.00,San Diego
"Sole, rock ",8,14.00,San Diego
Triggerfish ,4,12.00,San Diego
"Thornyhead, longspine ",1,2.00,San Diego
Stingray ,4,2.00,San Diego
"Ray, bat ",3,2.00,San Diego
"Sardine, Pacific ","1,199,347",0.00,San Diego
"Anchovy, northern ","38,275",0.00,San Diego
"Flounder, starry ",3,0.00,San Diego
"Rockfish, brown ",1,0.00,San Diego
"Tuna, skipjack, black ",8,0.00,San Diego
"Flounder, unspecified ",23,0.00,San Diego
"Crab, claws ",5,0.00,San Diego
"Rockfish, copper ",1,0.00,San Diego
"Sole, Dover ",5,0.00,San Diego
"Flounder, arrowtooth ",13,0.00,San Diego
Blacksmith ,2,0.00,San Diego
"Lobster, California spiny ","59,356",745673.00,San Diego
"Prawn, spot ","17,659",288551.00,San Diego
"Sea urchin, red ","100,764",221770.00,San Diego
"Tuna, bigeye ","39,255",105271.00,San Diego
