Species ,Pounds ,Value ,County
"Crab, Dungeness ","1,947,108",6035221.00,San Francisco County
"Salmon, Chinook ","508,862",3092515.00,San Francisco County
"Halibut, California ","265,286",1577690.00,San Francisco County
Swordfish ,"95,004",314735.00,San Francisco County
Sablefish ,"220,348",298144.00,San Francisco County
"Tuna, bigeye ","47,601",136429.00,San Francisco County
"Tuna, albacore ","63,255",69605.00,San Francisco County
"Seabass, white ","9,509",64204.00,San Francisco County
Opah ,"35,325",32125.00,San Francisco County
Lingcod ,"12,629",30868.00,San Francisco County
"Rockfish, bocaccio ","102,592",27419.00,San Francisco County
"Tuna, yellowfin ","7,448",20668.00,San Francisco County
"Rockfish, brown ","3,889",19035.00,San Francisco County
"Rockfish, group bolina ","2,339",12869.00,San Francisco County
"Rockfish, chilipepper ","49,808",12603.00,San Francisco County
"Flounder, starry ","12,852",12559.00,San Francisco County
"Sole, petrale ","41,097",11894.00,San Francisco County
"Sole, sand ","10,201",10212.00,San Francisco County
"Rockfish, gopher ","1,246",6550.00,San Francisco County
Anemones ,"1,617",5660.00,San Francisco County
Thornyheads ,695,5560.00,San Francisco County
"Shark, shortfin mako ","4,339",3819.00,San Francisco County
"Rockfish, vermilion ","1,205",3316.00,San Francisco County
"Rockfish, canary ","2,499",3187.00,San Francisco County
Wahoo ,"3,060",3082.00,San Francisco County
"Rockfish, blackgill ","1,907",2644.00,San Francisco County
"Salmon, Roe (Chinook, Coho) ",394,2225.00,San Francisco County
"Shark, thresher ","2,943",2207.00,San Francisco County
Pomfret ,"1,076",2151.00,San Francisco County
Dolphin (fish) ,"1,788",1768.00,San Francisco County
"Rockfish, yellowtail ","2,814",1746.00,San Francisco County
"Rockfish, bank ","5,040",1686.00,San Francisco County
"Greenling, rock ",530,1482.00,San Francisco County
"Anchovy, northern ","2,342",1476.00,San Francisco County
Escolar ,"1,990",1393.00,San Francisco County
"Rockfish, copper ",263,1320.00,San Francisco County
"Rockfish, widow ","4,998",1287.00,San Francisco County
"Greenling, kelp ",390,1210.00,San Francisco County
"Shark, leopard ","1,331",1021.00,San Francisco County
"Shark, soupfin ","1,156",985.00,San Francisco County
"Tuna, skipjack ","1,469",815.00,San Francisco County
"Rockfish, black ",355,761.00,San Francisco County
